id	is_hate	location
106	1.0	Melbourne, Australia
107	1.0	Sydney, Australia
108	1.0	Brisbane, Australia
109	1.0	Melbourne, Australia
110	1.0	Melbourne, Australia
111	1.0	Sydney, Australia
112	1.0	New Caledonia
113	1.0	Sydney, Australia
114	1.0	Sydney, Australia
115	1.0	Pacific Time (US & Canada)
116	1.0	Sydney, Australia
117	1.0	Brisbane, Australia
118	1.0	Melbourne, Australia
119	1.0	Canberra, Australia
120	1.0	Brisbane, Australia
121	1.0	Sydney, Australia
122	1.0	Melbourne, Australia
123	1.0	Tasmania, Australia
124	1.0	Brisbane, Australia
125	1.0	Adelaide, Australia
126	1.0	Sydney, Australia
127	1.0	Tasmania, Australia
128	1.0	Brisbane, Australia
129	1.0	Melbourne, Australia
130	1.0	Brisbane, Australia
131	1.0	Pacific Time (US & Canada)
132	1.0	Sydney, Australia
133	1.0	Hawaii, United States
134	1.0	Brisbane, Australia
135	1.0	Brisbane, Australia
136	1.0	Sydney, Australia
137	1.0	Brisbane, Australia
138	1.0	Sydney, Australia
139	1.0	Pacific Time (US & Canada)
140	1.0	Sydney, Australia
141	1.0	Melbourne, Australia
142	1.0	Brisbane, Australia
143	1.0	Adelaide, Australia
144	1.0	Sydney, Australia
145	1.0	Brisbane, Australia
146	1.0	Sydney, Australia
147	1.0	Sydney, Australia
148	1.0	Melbourne, Australia
149	1.0	Sydney, Australia
150	1.0	Sydney, Australia
151	1.0	Sydney, Australia
152	1.0	Melbourne, Australia
153	1.0	Melbourne, Australia
154	1.0	Brisbane, Australia
155	1.0	Sydney, Australia
156	1.0	Sydney, Australia
157	1.0	Tasmania, Australia
158	1.0	Melbourne, Australia
159	1.0	Sydney, Australia
160	1.0	Canberra, Australia
161	1.0	Sydney, Australia
162	1.0	Melbourne, Australia
163	1.0	Sydney, Australia
164	1.0	Tasmania, Australia
165	1.0	Sydney, Australia
166	1.0	Sydney, Australia
167	1.0	Canberra, Australia
168	1.0	Sydney, Australia
169	1.0	Sydney, Australia
170	1.0	Sydney, Australia
171	1.0	Sydney, Australia
172	1.0	Hawaii, United States
173	1.0	Kilmore, Australia
174	1.0	Paris, France
175	1.0	Adelaide, Australia
176	1.0	Melbourne, Australia
177	1.0	Melbourne, Australia
178	1.0	Sydney, Australia
179	1.0	Sydney, Australia
180	1.0	Sydney, Australia
181	1.0	Sydney, Australia
182	1.0	Tasmania, Australia
183	1.0	Adelaide, Australia
184	1.0	Melbourne, Australia
185	1.0	Melbourne, Australia
186	1.0	Sydney, Australia
187	1.0	Sydney, Australia
188	1.0	London, United Kingdom
189	1.0	Sydney, Australia
190	1.0	Brisbane, Australia
191	1.0	Brisbane, Australia
192	1.0	Brisbane, Australia
193	1.0	Perth, Australia
194	1.0	Perth, Australia
195	1.0	Perth, Australia
196	1.0	Beijing, China
197	1.0	Beijing, China
198	1.0	Brisbane, Australia
199	1.0	Hawaii, United States
200	1.0	Brisbane, Australia
201	1.0	Brisbane, Australia
202	1.0	Brisbane, Australia
203	1.0	Brisbane, Australia
204	1.0	Sydney, Australia
205	1.0	Brisbane, Australia
206	1.0	Hawaii, United States
207	1.0	Melbourne, Australia
208	1.0	Darwin, Australia
209	1.0	Melbourne, Australia
210	1.0	Melbourne, Australia
211	1.0	Urumqi, China
212	1.0	Darwin, Australia
213	1.0	Brisbane, Australia
214	1.0	Sydney, Australia
215	1.0	Darwin, Australia
216	1.0	Melbourne, Australia
217	1.0	Sydney, Australia
218	1.0	Adelaide, Australia
219	1.0	Darwin, Australia
220	1.0	Melbourne, Australia
221	1.0	Melbourne, Australia
222	1.0	Melbourne, Australia
223	1.0	Darwin, Australia
224	1.0	Tasmania, Australia
225	1.0	Wodonga, Australia
226	1.0	Brisbane, Australia
227	1.0	Perth, Australia
228	1.0	Perth, Australia
229	1.0	Brisbane, Australia
230	1.0	Pacific Time (US & Canada)
231	1.0	Brisbane, Australia
232	1.0	Perth, Australia
233	1.0	Alaska, United States
234	1.0	Brisbane, Australia
235	1.0	Sydney, Australia
236	1.0	Sydney, Australia
237	1.0	Dublin, Ireland
238	1.0	Sydney, Australia
239	1.0	Adelaide, Australia
240	1.0	Sydney, Australia
241	1.0	Hawaii, United States
242	1.0	Sydney, Australia
243	1.0	Sydney, Australia
244	1.0	Brisbane, Australia
245	1.0	Sydney, Australia
246	1.0	Brisbane, Australia
247	1.0	Brisbane, Australia
248	1.0	Hawaii, United States
249	1.0	Eastern Time (US & Canada)
250	1.0	Brisbane, Australia
251	1.0	Brisbane, Australia
252	1.0	Hawaii, United States
253	1.0	Adelaide, Australia
254	1.0	Tasmania, Australia
255	1.0	Pacific Time (US & Canada)
256	1.0	Perth, Australia
257	1.0	Hawaii, United States
258	1.0	Melbourne, Australia
259	1.0	Adelaide, Australia
260	1.0	Melbourne, Australia
261	1.0	Hawaii, United States
262	1.0	Brussels, Belgium
263	1.0	Adelaide, Australia
264	1.0	Brisbane, Australia
265	1.0	Melbourne, Australia
266	1.0	Melbourne, Australia
267	1.0	Melbourne, Australia
268	1.0	Melbourne, Australia
269	1.0	Hawaii, United States
270	1.0	Melbourne, Australia
271	1.0	Brussels, Belgium
272	1.0	Melbourne, Australia
273	1.0	Brisbane, Australia
274	1.0	Sydney, Australia
275	1.0	Arizona, United States
276	1.0	London, United Kingdom
277	1.0	New Caledonia
278	1.0	Sydney, Australia
279	1.0	New Caledonia
280	1.0	Melbourne, Australia
281	1.0	Melbourne, Australia
282	1.0	Sydney, Australia
283	1.0	Melbourne, Australia
284	1.0	New Caledonia
285	1.0	Melbourne, Australia
286	1.0	Canberra, Australia
287	1.0	Melbourne, Australia
288	1.0	Sydney, Australia
289	1.0	Melbourne, Australia
290	1.0	New Caledonia
291	1.0	Brisbane, Australia
292	1.0	Hawaii, United States
293	1.0	Hawaii, United States
294	1.0	Hawaii, United States
295	1.0	Sydney, Australia
296	1.0	Melbourne, Australia
297	1.0	Sydney, Australia
298	1.0	New Caledonia
299	1.0	Melbourne, Australia
300	1.0	Sydney, Australia
301	1.0	Melbourne, Australia
302	1.0	Sydney, Australia
303	1.0	Melbourne, Australia
304	1.0	Brisbane, Australia
305	1.0	Melbourne, Australia
306	1.0	Brussels, Belgium
307	1.0	Hawaii, United States
308	1.0	Sydney, Australia
309	1.0	Melbourne, Australia
310	1.0	Melbourne, Australia
311	1.0	Sydney, Australia
312	1.0	Melbourne, Australia
313	1.0	Melbourne, Australia
314	1.0	Kilmore, Australia
315	1.0	Melbourne, Australia
316	1.0	Sydney, Australia
317	1.0	Melbourne, Australia
318	1.0	Melbourne, Australia
319	1.0	New Caledonia
320	1.0	Brisbane, Australia
321	1.0	Canberra, Australia
322	1.0	Hawaii, United States
323	1.0	Melbourne, Australia
324	1.0	Melbourne, Australia
325	1.0	Melbourne, Australia
326	1.0	Melbourne, Australia
327	1.0	Sydney, Australia
328	1.0	Brisbane, Australia
329	1.0	Pacific Time (US & Canada)
330	1.0	Melbourne, Australia
331	1.0	Brisbane, Australia
332	1.0	Sydney, Australia
333	1.0	Brisbane, Australia
334	1.0	Scone, Australia
335	1.0	Brisbane, Australia
336	1.0	Sydney, Australia
337	1.0	Pacific Time (US & Canada)
338	1.0	Brisbane, Australia
339	1.0	Sydney, Australia
340	1.0	Sydney, Australia
341	1.0	Hawaii, United States
342	1.0	Hawaii, United States
343	1.0	Sydney, Australia
344	1.0	Wollongong, Australia
345	1.0	New Caledonia
346	1.0	Sydney, Australia
347	1.0	Sydney, Australia
348	1.0	Brisbane, Australia
349	1.0	Sydney, Australia
350	1.0	Sydney, Australia
351	1.0	Hawaii, United States
352	1.0	Sydney, Australia
353	1.0	London, United Kingdom
354	1.0	New Caledonia
355	1.0	Hawaii, United States
356	1.0	Sydney, Australia
357	1.0	Sydney, Australia
358	1.0	Hawaii, United States
359	1.0	Sydney, Australia
360	1.0	Sydney, Australia
361	1.0	Sydney, Australia
362	1.0	Sydney, Australia
363	1.0	Sydney, Australia
364	1.0	Beijing, China
365	1.0	Sydney, Australia
366	1.0	Melbourne, Australia
367	1.0	Melbourne, Australia
368	1.0	Sydney, Australia
369	1.0	Melbourne, Australia
370	1.0	Sydney, Australia
371	1.0	Melbourne, Australia
372	1.0	Melbourne, Australia
373	1.0	Melbourne, Australia
374	1.0	Tasmania, Australia
375	1.0	Tasmania, Australia
376	1.0	Hawaii, United States
377	1.0	Brisbane, Australia
378	1.0	Melbourne, Australia
379	1.0	Hawaii, United States
380	1.0	Urumqi, China
381	1.0	Melbourne, Australia
382	1.0	Melbourne, Australia
383	1.0	Melbourne, Australia
384	1.0	Melbourne, Australia
385	1.0	Sydney, Australia
386	1.0	Melbourne, Australia
387	1.0	Sydney, Australia
388	1.0	Melbourne, Australia
389	1.0	Canberra, Australia
390	1.0	Brisbane, Australia
391	1.0	Sydney, Australia
392	1.0	Sydney, Australia
393	1.0	New Caledonia
394	1.0	Sydney, Australia
395	1.0	Sydney, Australia
396	1.0	Singapore
397	1.0	Hawaii, United States
398	1.0	Goulburn, Australia
399	1.0	Melbourne, Australia
400	1.0	Alaska, United States
401	1.0	Sydney, Australia
402	1.0	Sydney, Australia
403	1.0	Sydney, Australia
404	1.0	Canberra, Australia
405	1.0	Sydney, Australia
406	1.0	Sydney, Australia
407	1.0	Sydney, Australia
408	1.0	Sydney, Australia
409	1.0	New Caledonia
410	1.0	Sydney, Australia
411	1.0	Melbourne, Australia
412	1.0	Brisbane, Australia
413	1.0	Adelaide, Australia
414	1.0	Sydney, Australia
415	1.0	Sydney, Australia
416	1.0	Sydney, Australia
417	1.0	New Caledonia
418	1.0	Melbourne, Australia
419	1.0	Yakutsk, Russia
420	1.0	Brisbane, Australia
421	1.0	Sydney, Australia
422	1.0	Sydney, Australia
423	1.0	Sydney, Australia
424	1.0	Sydney, Australia
425	1.0	Melbourne, Australia
426	1.0	Sydney, Australia
427	1.0	Sydney, Australia
428	1.0	Canberra, Australia
429	1.0	Adelaide, Australia
430	1.0	Sydney, Australia
431	1.0	Sydney, Australia
432	1.0	Sydney, Australia
433	1.0	Sydney, Australia
434	1.0	Sydney, Australia
435	1.0	Melbourne, Australia
436	1.0	Melbourne, Australia
437	1.0	Sydney, Australia
438	1.0	New Caledonia
439	1.0	Adelaide, Australia
440	1.0	Brisbane, Australia
441	1.0	Pacific Time (US & Canada)
442	1.0	Pacific Time (US & Canada)
443	1.0	Pacific Time (US & Canada)
444	1.0	Illinois, United States
445	1.0	Perth, Australia
446	1.0	Brisbane, Australia
447	1.0	Amsterdam, Netherlands
448	1.0	Perth, Australia
449	1.0	Perth, Australia
450	1.0	Karratha, Australia
451	1.0	Perth, Australia
452	1.0	Perth, Australia
453	1.0	Sydney, Australia
454	1.0	Sydney, Australia
455	1.0	London, United Kingdom
456	1.0	Perth, Australia
457	1.0	New Caledonia
458	1.0	Gold Coast, Australia
459	1.0	Hawaii, United States
460	1.0	Brisbane, Australia
461	1.0	Gold Coast, Australia
462	1.0	Brisbane, Australia
463	1.0	Brisbane, Australia
464	1.0	Sydney, Australia
465	1.0	Brisbane, Australia
466	1.0	Sydney, Australia
467	1.0	Adelaide, Australia
468	1.0	Melbourne, Australia
469	1.0	Melbourne, Australia
470	1.0	Sydney, Australia
471	1.0	Adelaide, Australia
472	1.0	Adelaide, Australia
473	1.0	Adelaide, Australia
474	1.0	Tasmania, Australia
475	1.0	Melbourne, Australia
476	1.0	New Caledonia
477	1.0	Melbourne, Australia
478	1.0	Pacific Time (US & Canada)
479	1.0	Melbourne, Australia
480	1.0	Adelaide, Australia
481	1.0	Adelaide, Australia
482	1.0	Adelaide, Australia
483	1.0	Hawaii, United States
484	1.0	Wellington, New Zealand
485	1.0	Melbourne, Australia
486	1.0	Brisbane, Australia
487	1.0	Adelaide, Australia
488	1.0	Adelaide, Australia
489	1.0	Brisbane, Australia
490	1.0	London, United Kingdom
491	1.0	Brisbane, Australia
492	1.0	Brisbane, Australia
493	1.0	New Caledonia
494	1.0	Melbourne, Australia
495	1.0	Adelaide, Australia
496	1.0	Melbourne, Australia
497	1.0	Hawaii, United States
498	1.0	Sydney, Australia
499	1.0	Sydney, Australia
500	1.0	Sydney, Australia
501	1.0	Melbourne, Australia
502	1.0	Sydney, Australia
503	1.0	Hawaii, United States
504	1.0	Hawaii, United States
505	1.0	Sydney, Australia
506	1.0	Brisbane, Australia
507	1.0	Sydney, Australia
508	1.0	Sydney, Australia
509	1.0	Melbourne, Australia
510	1.0	Sydney, Australia
511	1.0	Brisbane, Australia
512	1.0	Sydney, Australia
513	1.0	Brisbane, Australia
514	1.0	Melbourne, Australia
515	1.0	Sydney, Australia
516	1.0	Melbourne, Australia
517	1.0	Melbourne, Australia
518	1.0	Melbourne, Australia
519	1.0	Sydney, Australia
520	1.0	Sydney, Australia
521	1.0	Sydney, Australia
522	1.0	Sydney, Australia
523	1.0	Sydney, Australia
524	1.0	Sydney, Australia
525	1.0	Sydney, Australia
526	1.0	Brisbane, Australia
527	1.0	Sydney, Australia
528	1.0	New Caledonia
529	1.0	Sydney, Australia
530	1.0	Sydney, Australia
531	1.0	Sydney, Australia
532	1.0	Murrurundi, Australia
533	1.0	Hawaii, United States
534	1.0	Sydney, Australia
535	1.0	Sydney, Australia
536	1.0	Sydney, Australia
537	1.0	Melbourne, Australia
538	1.0	Australia, Australia
539	1.0	Sydney, Australia
540	1.0	Melbourne, Australia
541	1.0	Hawaii, United States
542	1.0	Hawaii, United States
543	1.0	Adelaide, Australia
544	1.0	Melbourne, Australia
545	1.0	New Caledonia
546	1.0	Sydney, Australia
547	1.0	Sydney, Australia
548	1.0	Hawaii, United States
549	1.0	Sydney, Australia
550	1.0	Sydney, Australia
551	1.0	Sydney, Australia
552	1.0	Melbourne, Australia
553	1.0	Sydney, Australia
554	1.0	Sydney, Australia
555	1.0	New Caledonia
556	1.0	Melbourne, Australia
557	1.0	Sydney, Australia
558	1.0	Hawaii, United States
559	1.0	Australia, Australia
560	1.0	Melbourne, Australia
561	1.0	Adelaide, Australia
562	1.0	Sydney, Australia
563	1.0	Sydney, Australia
564	1.0	Sydney, Australia
565	1.0	Sydney, Australia
566	1.0	Sydney, Australia
567	1.0	Melbourne, Australia
568	1.0	Adelaide, Australia
569	1.0	Sydney, Australia
570	1.0	Pacific Time (US & Canada)
571	1.0	Eastern Time (US & Canada)
572	1.0	Eastern Time (US & Canada)
573	1.0	Eastern Time (US & Canada)
574	1.0	Eastern Time (US & Canada)
575	1.0	Hawaii, United States
576	1.0	Pacific Time (US & Canada)
577	1.0	Eastern Time (US & Canada)
578	1.0	Central Time (US & Canada)
579	1.0	Eastern Time (US & Canada)
580	1.0	Eastern Time (US & Canada)
581	1.0	Eastern Time (US & Canada)
582	1.0	Eastern Time (US & Canada)
583	1.0	Eastern Time (US & Canada)
584	1.0	Eastern Time (US & Canada)
585	1.0	Eastern Time (US & Canada)
586	1.0	Eastern Time (US & Canada)
587	1.0	Eastern Time (US & Canada)
588	1.0	Eastern Time (US & Canada)
589	1.0	Eastern Time (US & Canada)
590	1.0	Eastern Time (US & Canada)
591	1.0	Eastern Time (US & Canada)
592	1.0	Eastern Time (US & Canada)
593	1.0	Eastern Time (US & Canada)
594	1.0	Eastern Time (US & Canada)
595	1.0	Eastern Time (US & Canada)
596	1.0	Eastern Time (US & Canada)
597	1.0	Eastern Time (US & Canada)
598	1.0	Eastern Time (US & Canada)
599	1.0	Eastern Time (US & Canada)
600	1.0	Eastern Time (US & Canada)
601	1.0	Eastern Time (US & Canada)
602	1.0	Eastern Time (US & Canada)
603	1.0	Eastern Time (US & Canada)
604	1.0	Eastern Time (US & Canada)
605	1.0	Eastern Time (US & Canada)
606	1.0	Eastern Time (US & Canada)
607	1.0	Eastern Time (US & Canada)
608	1.0	Eastern Time (US & Canada)
609	1.0	Eastern Time (US & Canada)
610	1.0	Eastern Time (US & Canada)
611	1.0	Eastern Time (US & Canada)
612	1.0	Eastern Time (US & Canada)
613	1.0	Eastern Time (US & Canada)
614	1.0	Eastern Time (US & Canada)
615	1.0	Eastern Time (US & Canada)
616	1.0	Eastern Time (US & Canada)
617	1.0	Eastern Time (US & Canada)
618	1.0	Eastern Time (US & Canada)
619	1.0	Eastern Time (US & Canada)
620	1.0	Eastern Time (US & Canada)
621	1.0	Eastern Time (US & Canada)
622	1.0	Eastern Time (US & Canada)
623	1.0	Eastern Time (US & Canada)
624	1.0	Eastern Time (US & Canada)
625	1.0	Eastern Time (US & Canada)
626	1.0	Eastern Time (US & Canada)
627	1.0	Eastern Time (US & Canada)
628	1.0	Eastern Time (US & Canada)
629	1.0	Eastern Time (US & Canada)
630	1.0	Eastern Time (US & Canada)
631	1.0	Eastern Time (US & Canada)
632	1.0	Eastern Time (US & Canada)
633	1.0	Eastern Time (US & Canada)
634	1.0	Eastern Time (US & Canada)
635	1.0	Eastern Time (US & Canada)
636	1.0	Eastern Time (US & Canada)
637	1.0	Eastern Time (US & Canada)
638	1.0	Eastern Time (US & Canada)
639	1.0	Eastern Time (US & Canada)
640	1.0	Eastern Time (US & Canada)
641	1.0	Eastern Time (US & Canada)
642	1.0	Eastern Time (US & Canada)
643	1.0	Eastern Time (US & Canada)
644	1.0	Eastern Time (US & Canada)
645	1.0	Eastern Time (US & Canada)
646	1.0	Eastern Time (US & Canada)
647	1.0	Eastern Time (US & Canada)
648	1.0	Eastern Time (US & Canada)
649	1.0	Eastern Time (US & Canada)
650	1.0	Eastern Time (US & Canada)
651	1.0	Eastern Time (US & Canada)
652	1.0	Eastern Time (US & Canada)
653	1.0	Eastern Time (US & Canada)
654	1.0	Eastern Time (US & Canada)
655	1.0	Eastern Time (US & Canada)
656	1.0	Eastern Time (US & Canada)
657	1.0	Eastern Time (US & Canada)
658	1.0	Eastern Time (US & Canada)
659	1.0	Eastern Time (US & Canada)
660	1.0	Eastern Time (US & Canada)
661	1.0	Eastern Time (US & Canada)
662	1.0	Eastern Time (US & Canada)
663	1.0	Eastern Time (US & Canada)
664	1.0	Eastern Time (US & Canada)
665	1.0	Eastern Time (US & Canada)
666	1.0	Eastern Time (US & Canada)
667	1.0	Eastern Time (US & Canada)
668	1.0	Eastern Time (US & Canada)
669	1.0	Eastern Time (US & Canada)
670	1.0	Eastern Time (US & Canada)
671	1.0	Eastern Time (US & Canada)
672	1.0	Eastern Time (US & Canada)
673	1.0	Eastern Time (US & Canada)
674	1.0	Eastern Time (US & Canada)
675	1.0	Eastern Time (US & Canada)
676	1.0	Eastern Time (US & Canada)
677	1.0	Eastern Time (US & Canada)
678	1.0	Eastern Time (US & Canada)
679	1.0	Eastern Time (US & Canada)
680	1.0	Eastern Time (US & Canada)
681	1.0	Eastern Time (US & Canada)
682	1.0	Eastern Time (US & Canada)
683	1.0	Eastern Time (US & Canada)
684	1.0	Eastern Time (US & Canada)
685	1.0	Eastern Time (US & Canada)
686	1.0	Eastern Time (US & Canada)
687	1.0	Eastern Time (US & Canada)
688	1.0	Eastern Time (US & Canada)
689	1.0	Eastern Time (US & Canada)
690	1.0	Eastern Time (US & Canada)
691	1.0	Eastern Time (US & Canada)
692	1.0	Eastern Time (US & Canada)
693	1.0	Eastern Time (US & Canada)
694	1.0	Eastern Time (US & Canada)
695	1.0	Eastern Time (US & Canada)
696	1.0	Eastern Time (US & Canada)
697	1.0	Eastern Time (US & Canada)
698	1.0	Eastern Time (US & Canada)
699	1.0	Eastern Time (US & Canada)
700	1.0	Eastern Time (US & Canada)
701	1.0	Eastern Time (US & Canada)
702	1.0	Eastern Time (US & Canada)
703	1.0	Eastern Time (US & Canada)
704	1.0	Eastern Time (US & Canada)
705	1.0	Eastern Time (US & Canada)
706	1.0	Eastern Time (US & Canada)
707	1.0	Eastern Time (US & Canada)
708	1.0	Eastern Time (US & Canada)
709	1.0	Eastern Time (US & Canada)
710	1.0	Eastern Time (US & Canada)
711	1.0	Eastern Time (US & Canada)
712	1.0	Eastern Time (US & Canada)
713	1.0	Eastern Time (US & Canada)
714	1.0	Eastern Time (US & Canada)
715	1.0	Eastern Time (US & Canada)
716	1.0	Eastern Time (US & Canada)
717	1.0	Eastern Time (US & Canada)
718	1.0	Eastern Time (US & Canada)
719	1.0	Eastern Time (US & Canada)
720	1.0	Eastern Time (US & Canada)
721	1.0	Eastern Time (US & Canada)
722	1.0	Eastern Time (US & Canada)
723	1.0	Eastern Time (US & Canada)
724	1.0	Eastern Time (US & Canada)
725	1.0	Eastern Time (US & Canada)
726	1.0	Eastern Time (US & Canada)
727	1.0	Eastern Time (US & Canada)
728	1.0	Eastern Time (US & Canada)
729	1.0	Eastern Time (US & Canada)
730	1.0	Eastern Time (US & Canada)
731	1.0	Eastern Time (US & Canada)
732	1.0	Eastern Time (US & Canada)
733	1.0	Eastern Time (US & Canada)
734	1.0	Eastern Time (US & Canada)
735	1.0	Eastern Time (US & Canada)
736	1.0	Eastern Time (US & Canada)
737	1.0	Eastern Time (US & Canada)
738	1.0	Eastern Time (US & Canada)
739	1.0	Eastern Time (US & Canada)
740	1.0	Eastern Time (US & Canada)
741	1.0	Eastern Time (US & Canada)
742	1.0	Eastern Time (US & Canada)
743	1.0	Eastern Time (US & Canada)
744	1.0	Eastern Time (US & Canada)
745	1.0	Eastern Time (US & Canada)
746	1.0	Eastern Time (US & Canada)
747	1.0	Eastern Time (US & Canada)
748	1.0	Eastern Time (US & Canada)
749	1.0	Eastern Time (US & Canada)
750	1.0	Eastern Time (US & Canada)
751	1.0	Eastern Time (US & Canada)
752	1.0	Eastern Time (US & Canada)
753	1.0	Eastern Time (US & Canada)
754	1.0	Eastern Time (US & Canada)
755	1.0	Eastern Time (US & Canada)
756	1.0	Eastern Time (US & Canada)
757	1.0	Eastern Time (US & Canada)
758	1.0	Eastern Time (US & Canada)
759	1.0	Eastern Time (US & Canada)
760	1.0	Eastern Time (US & Canada)
761	1.0	Eastern Time (US & Canada)
762	1.0	Eastern Time (US & Canada)
763	1.0	Eastern Time (US & Canada)
764	1.0	Eastern Time (US & Canada)
765	1.0	Eastern Time (US & Canada)
766	1.0	Eastern Time (US & Canada)
767	1.0	Eastern Time (US & Canada)
768	1.0	Eastern Time (US & Canada)
769	1.0	Eastern Time (US & Canada)
770	1.0	Eastern Time (US & Canada)
771	1.0	Eastern Time (US & Canada)
772	1.0	Eastern Time (US & Canada)
773	1.0	Eastern Time (US & Canada)
774	1.0	Eastern Time (US & Canada)
775	1.0	Eastern Time (US & Canada)
776	1.0	Eastern Time (US & Canada)
777	1.0	Eastern Time (US & Canada)
778	1.0	Eastern Time (US & Canada)
779	1.0	Eastern Time (US & Canada)
780	1.0	Eastern Time (US & Canada)
781	1.0	Eastern Time (US & Canada)
782	1.0	Eastern Time (US & Canada)
783	1.0	Eastern Time (US & Canada)
784	1.0	Eastern Time (US & Canada)
785	1.0	Eastern Time (US & Canada)
786	1.0	Eastern Time (US & Canada)
787	1.0	Eastern Time (US & Canada)
788	1.0	Eastern Time (US & Canada)
789	1.0	Eastern Time (US & Canada)
790	1.0	Eastern Time (US & Canada)
791	1.0	Eastern Time (US & Canada)
792	1.0	Eastern Time (US & Canada)
793	1.0	Eastern Time (US & Canada)
794	1.0	Eastern Time (US & Canada)
795	1.0	Eastern Time (US & Canada)
796	1.0	Eastern Time (US & Canada)
797	1.0	Eastern Time (US & Canada)
798	1.0	Eastern Time (US & Canada)
799	1.0	Eastern Time (US & Canada)
800	1.0	Eastern Time (US & Canada)
801	1.0	Eastern Time (US & Canada)
802	1.0	Eastern Time (US & Canada)
803	1.0	Eastern Time (US & Canada)
804	1.0	Eastern Time (US & Canada)
805	1.0	Eastern Time (US & Canada)
806	1.0	Eastern Time (US & Canada)
807	1.0	Eastern Time (US & Canada)
808	1.0	Eastern Time (US & Canada)
809	1.0	Eastern Time (US & Canada)
810	1.0	Eastern Time (US & Canada)
811	1.0	Eastern Time (US & Canada)
812	1.0	Eastern Time (US & Canada)
813	1.0	Eastern Time (US & Canada)
814	1.0	Eastern Time (US & Canada)
815	1.0	Eastern Time (US & Canada)
816	1.0	Eastern Time (US & Canada)
817	1.0	Eastern Time (US & Canada)
818	1.0	Eastern Time (US & Canada)
819	1.0	Eastern Time (US & Canada)
820	1.0	Eastern Time (US & Canada)
821	1.0	Eastern Time (US & Canada)
822	1.0	Eastern Time (US & Canada)
823	1.0	Eastern Time (US & Canada)
824	1.0	Eastern Time (US & Canada)
825	1.0	Eastern Time (US & Canada)
826	1.0	Eastern Time (US & Canada)
827	1.0	Eastern Time (US & Canada)
